ORF	Condition1	Condition2	x Coord	y Coord	Area	Eccentricity	Perimeter
wild-type	galactose	glutamate	2108.720238	1277.315476	504.000000	0.683078	99.497475
wild-type	galactose	glutamate	2246.553191	1276.595745	564.000000	0.681120	104.325902
YDL039C	galactose	glutamate	2385.446640	1276.250988	506.000000	0.696995	99.012193
YPR023C	galactose	glutamate	2522.562319	1275.478261	345.000000	0.671088	70.526912
blank	galactose	glutamate	2658.000000	1284.000000	0.000000	0.000000	0.000000
YPR022C	galactose	glutamate	2798.971993	1276.042834	607.000000	0.650477	110.811183
wild-type	galactose	glutamate	2937.162641	1274.780998	621.000000	0.637179	98.669048
wild-type	galactose	glutamate	3075.938640	1274.527363	603.000000	0.579609	102.325902
YDL037C	galactose	glutamate	3215.706935	1277.612975	447.000000	0.642790	79.597980
YPR013C	galactose	glutamate	3350.246134	1278.470361	776.000000	0.265970	101.740115
YHR132W-A	galactose	glutamate	169.651546	1429.793814	485.000000	0.373315	81.840620
YKR040C	galactose	glutamate	310.645631	1426.160194	412.000000	0.430455	78.183766
YGR295C	galactose	glutamate	448.188862	1424.697337	413.000000	0.732037	85.012193
YKR039W	galactose	glutamate	585.881517	1424.675355	422.000000	0.566487	82.083261
YPL224C	galactose	glutamate	723.975556	1425.140000	450.000000	0.704074	92.083261
YKR036C	galactose	glutamate	862.554987	1423.585678	391.000000	0.610567	75.112698
YPL183W-A	galactose	glutamate	1001.272152	1423.477848	316.000000	0.703720	75.012193
YKR034W	galactose	glutamate	1139.010499	1421.981627	381.000000	0.678418	78.183766
YPL183C	galactose	glutamate	1276.836489	1422.960413	581.000000	0.605534	105.497475
YKR029C	galactose	glutamate	1415.564677	1421.529851	402.000000	0.659597	80.769553
YMR173W	galactose	glutamate	1554.243513	1420.754491	501.000000	0.655935	89.840620
YKR028W	galactose	glutamate	1692.000000	1426.000000	0.000000	0.000000	0.000000
blank	galactose	glutamate	1830.000000	1426.000000	0.000000	0.000000	0.000000
YKR027W	galactose	glutamate	1968.000000	1426.000000	0.000000	0.000000	0.000000
wild-type	galactose	glutamate	2107.822266	1419.062500	512.000000	0.681877	102.669048
blank	galactose	glutamate	2244.000000	1426.000000	0.000000	0.000000	0.000000
YMR160W	galactose	glutamate	2386.600536	1418.726542	373.000000	0.738725	80.426407
YKR023W	galactose	glutamate	2524.481928	1418.012048	332.000000	0.738959	72.769553
YMR139W	galactose	glutamate	2662.192698	1417.095335	493.000000	0.729330	90.083261
YKR019C	galactose	glutamate	2799.490040	1417.193227	502.000000	0.715012	91.497475
wild-type	galactose	glutamate	2938.717143	1418.480000	350.000000	0.503878	71.941125
wild-type	galactose	glutamate	3076.794118	1418.098930	374.000000	0.469559	79.355339
YMR138W	galactose	glutamate	3215.222453	1419.729730	481.000000	0.661614	83.254834
YKR010C	galactose	glutamate	3350.451117	1420.652235	716.000000	0.207839	97.497475
wild-type	galactose	glutamate	170.868805	1568.982507	343.000000	0.550923	68.183766
wild-type	galactose	glutamate	310.978022	1567.624176	455.000000	0.645549	84.325902
YDL035C	galactose	glutamate	448.994413	1567.516760	358.000000	0.569975	71.012193
YPR008W	galactose	glutamate	586.230000	1567.088000	500.000000	0.690546	94.426407
YDL034W	galactose	glutamate	724.656863	1566.894608	408.000000	0.690791	83.355339
YPR007C	galactose	glutamate	862.047917	1566.097917	480.000000	0.678769	91.740115
YDL033C	galactose	glutamate	1000.102326	1565.520930	430.000000	0.720201	96.083261
YOL147C	galactose	glutamate	1139.636574	1564.648148	432.000000	0.695202	84.426407
wild-type	galactose	glutamate	1277.350711	1563.464455	422.000000	0.673054	86.669048
wild-type	galactose	glutamate	1415.181474	1564.257089	529.000000	0.624833	106.568542
YDL032W	galactose	glutamate	1554.439883	1563.950147	341.000000	0.725705	75.012193
YNL111C	galactose	glutamate	1692.971246	1563.255591	626.000000	0.599317	127.982756
YDL027C	galactose	glutamate	1831.333333	1563.016502	606.000000	0.580544	125.396970
YNR069C	galactose	glutamate	1970.542986	1563.126697	663.000000	0.540296	135.053824
YDL025C	galactose	glutamate	2110.688218	1563.431034	696.000000	0.715961	126.568542
YNR055C	galactose	glutamate	2247.174957	1561.385935	583.000000	0.709730	104.669048
YDL024C	galactose	glutamate	2385.865116	1561.350388	645.000000	0.650423	112.669048
YNL109W	galactose	glutamate	2523.507716	1561.283951	648.000000	0.689204	119.053824
YDL023C	galactose	glutamate	2661.670245	1560.420245	652.000000	0.668264	113.154329
YMR104C	galactose	glutamate	2798.467033	1561.320055	728.000000	0.565304	127.396970
YDL022W	galactose	glutamate	2938.048309	1560.576490	621.000000	0.627983	111.982756
YMR037C	galactose	glutamate	3077.847670	1559.379928	558.000000	0.660503	95.941125
YDL020C	galactose	glutamate	3210.000000	1568.000000	0.000000	0.000000	0.000000
YML115C	galactose	glutamate	3349.926450	1562.708628	707.000000	0.391160	97.254834
wild-type	galactose	glutamate	171.417832	1713.311189	572.000000	0.290595	89.254834
wild-type	galactose	glutamate	310.862613	1709.108108	444.000000	0.652233	84.083261
YMR137C	galactose	glutamate	448.521472	1709.481595	326.000000	0.645004	69.012193
YKL220C	galactose	glutamate	585.842566	1708.271137	343.000000	0.547619	69.355339
YMR135W-A	galactose	glutamate	725.707483	1708.428571	441.000000	0.726491	91.840620
YKL215C	galactose	glutamate	863.186528	1707.227979	386.000000	0.763031	85.254834
YMR048W	galactose	glutamate	1002.882857	1706.528571	350.000000	0.785488	77.597980
YKL204W	galactose	glutamate	1140.000000	1710.000000	0.000000	0.000000	0.000000
wild-type	galactose	glutamate	1277.985417	1704.877083	480.000000	0.693002	96.083261
wild-type	galactose	glutamate	1416.395652	1705.154348	460.000000	0.727881	99.840620
blank	galactose	glutamate	1554.000000	1710.000000	0.000000	0.000000	0.000000
YKL202W	galactose	glutamate	1693.787402	1703.889764	381.000000	0.722844	91.012193
YML076C	galactose	glutamate	1831.302457	1704.561437	529.000000	0.683962	111.497475
YJL213W	galactose	glutamate	1969.818898	1703.944882	508.000000	0.731496	99.597980
YML075C	galactose	glutamate	2109.042230	1703.866554	592.000000	0.689636	109.154329
YKL194C	galactose	glutamate	2244.000000	1710.000000	0.000000	0.000000	0.000000
YML047C	galactose	glutamate	2384.645588	1703.138235	680.000000	0.627519	119.982756
YKL139W	galactose	glutamate	2520.000000	1710.000000	0.000000	0.000000	0.000000
YML042W	galactose	glutamate	2661.455988	1703.608947	693.000000	0.581295	116.225397
YKL115C	galactose	glutamate	2800.393491	1702.065089	676.000000	0.641191	111.740115
YML041C	galactose	glutamate	2939.558140	1703.630814	344.000000	0.221246	69.112698
YKL096W-A	galactose	glutamate	3077.047091	1703.673130	361.000000	0.541868	75.355339
YML038C	galactose	glutamate	3215.467023	1703.126560	561.000000	0.503325	90.669048
YJL177W	galactose	glutamate	3348.000000	1710.000000	0.000000	0.000000	0.000000
